Gene_name	Bifidobacterium adolescentis	Bifidobacterium angulatum DSM 20098 JCM 7096	Bifidobacterium animalis	Bifidobacterium animalis subsp animalis YL2	Bifidobacterium animalis subsp. lactis BLC1	Bifidobacterium bifidum NCIMB 41171	Bifidobacterium breve	Bifidobacterium catenulatum DSM 16992 JCM 1194 LMG 11043	Bifidobacterium catenulatum subsp. kashiwanohense JCM 15439 DSM 21854	Bifidobacterium dentium ATCC27678	Bifidobacterium longum JMC1217	Bifidobacterium longum subsp. longum JCM 1217	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudolongum	Bifidobacterium thermophilum	Bifidobacterium-infantis-subsp-suis-DSM20211	Bifidobacterium-longum-infantis-subsp-infantis-ATCC15697
A4U98_RS00645	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00650	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00655	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00660	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00680	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00685	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00690	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00695	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00700	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00705	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00710	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00725	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00735	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00740	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00745	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00755	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00760	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00765	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00770	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00775	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00795	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00805	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00820	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00825	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00830	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00835	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00840	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00845	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00850	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00860	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00870	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00885	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00895	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00900	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00905	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00910	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00935	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00940	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00950	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00960	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00985	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01025	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01100	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01110	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01135	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01140	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01145	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01150	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01155	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01160	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01175	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01180	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01185	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01195	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01200	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01205	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01215	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01220	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01225	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01230	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01235	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01240	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01245	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01250	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01265	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01270	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01290	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01310	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01315	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01320	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01330	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01335	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01340	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01345	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01350	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01355	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01360	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01365	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01375	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01380	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01385	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01405	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01410	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01415	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01425	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01430	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01435	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01440	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01445	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01450	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01455	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01460	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01465	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01470	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01495	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01500	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01535	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01545	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01550	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01555	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01560	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01585	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01590	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01595	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01600	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01605	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01610	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01620	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01625	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01630	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01635	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01645	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01650	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01665	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01675	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01700	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01705	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
